5,1	3,5	1,4	0,2	Iris-setosa		0,22	0,63	0,07	0,04	1	0	0		117,0
4,9	3	1,4	0,2	Iris-setosa		0,17	0,42	0,07	0,04	1	0	0		83,0
4,7	3,2	1,3	0,2	Iris-setosa		0,11	0,5	0,05	0,04	1	0	0		82,0
4,6	3,1	1,5	0,2	Iris-setosa		0,08	0,46	0,08	0,04	1	0	0		20,0
5	3,6	1,4	0,2	Iris-setosa		0,19	0,67	0,07	0,04	1	0	0		55,0
5,4	3,9	1,7	0,4	Iris-setosa		0,31	0,79	0,12	0,13	1	0	0		3,0
4,6	3,4	1,4	0,3	Iris-setosa		0,08	0,58	0,07	0,08	1	0	0		79,0
5	3,4	1,5	0,2	Iris-setosa		0,19	0,58	0,08	0,04	1	0	0		44,0
4,4	2,9	1,4	0,2	Iris-setosa		0,03	0,38	0,07	0,04	1	0	0		51,0
4,9	3,1	1,5	0,1	Iris-setosa		0,17	0,46	0,08	0	1	0	0		59,0
5,4	3,7	1,5	0,2	Iris-setosa		0,31	0,71	0,08	0,04	1	0	0		112,0
4,8	3,4	1,6	0,2	Iris-setosa		0,14	0,58	0,1	0,04	1	0	0		33,0
4,8	3	1,4	0,1	Iris-setosa		0,14	0,42	0,07	0	1	0	0		19,0
4,3	3	1,1	0,1	Iris-setosa		0	0,42	0,02	0	1	0	0		23,0
5,8	4	1,2	0,2	Iris-setosa		0,42	0,83	0,03	0,04	1	0	0		13,0
5,7	4,4	1,5	0,4	Iris-setosa		0,39	1	0,08	0,13	1	0	0		4,0
5,4	3,9	1,3	0,4	Iris-setosa		0,31	0,79	0,05	0,13	1	0	0		114,0
5,1	3,5	1,4	0,3	Iris-setosa		0,22	0,63	0,07	0,08	1	0	0		20,0
5,7	3,8	1,7	0,3	Iris-setosa		0,39	0,75	0,12	0,08	1	0	0		77,0
5,1	3,8	1,5	0,3	Iris-setosa		0,22	0,75	0,08	0,08	1	0	0		40,0
5,4	3,4	1,7	0,2	Iris-setosa		0,31	0,58	0,12	0,04	1	0	0		101,0
5,1	3,7	1,5	0,4	Iris-setosa		0,22	0,71	0,08	0,13	1	0	0		40,0
4,6	3,6	1	0,2	Iris-setosa		0,08	0,67	0	0,04	1	0	0		89,0
5,1	3,3	1,7	0,5	Iris-setosa		0,22	0,54	0,12	0,17	1	0	0		109,0
4,8	3,4	1,9	0,2	Iris-setosa		0,14	0,58	0,15	0,04	1	0	0		109,0
5	3	1,6	0,2	Iris-setosa		0,19	0,42	0,1	0,04	1	0	0		39,0
5	3,4	1,6	0,4	Iris-setosa		0,19	0,58	0,1	0,13	1	0	0		122,0
5,2	3,5	1,5	0,2	Iris-setosa		0,25	0,63	0,08	0,04	1	0	0		88,0
5,2	3,4	1,4	0,2	Iris-setosa		0,25	0,58	0,07	0,04	1	0	0		99,0
4,7	3,2	1,6	0,2	Iris-setosa		0,11	0,5	0,1	0,04	1	0	0		55,0
4,8	3,1	1,6	0,2	Iris-setosa		0,14	0,46	0,1	0,04	1	0	0		135,0
5,4	3,4	1,5	0,4	Iris-setosa		0,31	0,58	0,08	0,13	1	0	0		103,0
5,2	4,1	1,5	0,1	Iris-setosa		0,25	0,88	0,08	0	1	0	0		97,0
5,5	4,2	1,4	0,2	Iris-setosa		0,33	0,92	0,07	0,04	1	0	0		148,0
4,9	3,1	1,5	0,1	Iris-setosa		0,17	0,46	0,08	0	1	0	0		109,0
5	3,2	1,2	0,2	Iris-setosa		0,19	0,5	0,03	0,04	1	0	0		57,0
5,5	3,5	1,3	0,2	Iris-setosa		0,33	0,63	0,05	0,04	1	0	0		20,0
4,9	3,1	1,5	0,1	Iris-setosa		0,17	0,46	0,08	0	1	0	0		51,0
