0.22	0.63	0.07	0.04	1	0	0
0.17	0.42	0.07	0.04	1	0	0
0.11	0.50	0.05	0.04	1	0	0
0.08	0.46	0.08	0.04	1	0	0
0.19	0.67	0.07	0.04	1	0	0
0.31	0.79	0.12	0.13	1	0	0
0.08	0.58	0.07	0.08	1	0	0
0.19	0.58	0.08	0.04	1	0	0
0.03	0.38	0.07	0.04	1	0	0
0.17	0.46	0.08	0.00	1	0	0
0.31	0.71	0.08	0.04	1	0	0
0.14	0.58	0.10	0.04	1	0	0
0.14	0.42	0.07	0.00	1	0	0
0.00	0.42	0.02	0.00	1	0	0
0.42	0.83	0.03	0.04	1	0	0
0.39	1.00	0.08	0.13	1	0	0
0.31	0.79	0.05	0.13	1	0	0
0.22	0.63	0.07	0.08	1	0	0
0.39	0.75	0.12	0.08	1	0	0
0.22	0.75	0.08	0.08	1	0	0
0.31	0.58	0.12	0.04	1	0	0
0.22	0.71	0.08	0.13	1	0	0
0.08	0.67	0.00	0.04	1	0	0
0.22	0.54	0.12	0.17	1	0	0
0.14	0.58	0.15	0.04	1	0	0
0.19	0.42	0.10	0.04	1	0	0
0.19	0.58	0.10	0.13	1	0	0
0.25	0.63	0.08	0.04	1	0	0
0.25	0.58	0.07	0.04	1	0	0
0.11	0.50	0.10	0.04	1	0	0
0.14	0.46	0.10	0.04	1	0	0
0.31	0.58	0.08	0.13	1	0	0
0.25	0.88	0.08	0.00	1	0	0
0.33	0.92	0.07	0.04	1	0	0
0.17	0.46	0.08	0.00	1	0	0
0.19	0.50	0.03	0.04	1	0	0
0.33	0.63	0.05	0.04	1	0	0
0.17	0.46	0.08	0.00	1	0	0
0.03	0.42	0.05	0.04	1	0	0
0.22	0.58	0.08	0.04	1	0	0
0.19	0.63	0.05	0.08	1	0	0
0.06	0.13	0.05	0.08	1	0	0
0.03	0.50	0.05	0.04	1	0	0
0.19	0.63	0.10	0.21	1	0	0
0.22	0.75	0.15	0.13	1	0	0
